person,text
Bob Ross,"And if this is your first time with us, allow me to extend a personal invitation for you to drag out your big brushes and a few colors and paint along with us each week as we put some of natures"
Bob Ross,"masterpieces on canvas. Tell you what, Im gonna start out today and have em run all the color across the screen that you need to paint along with me"
Bob Ross,"And while theyre doing that, let me tell you what Ive already done up here"
Bob Ross,"Today I have my standard old 18 by 24 inch double-primed canvas, and onto that, Ive taken a piece of contact paper and sort of cut like a half an oval shape, and I just stuck it on"
Bob Ross,"And weve covered the entire canvas with a thin, even coat of liquid white"
Bob Ross,"This is a wet-on-wet painting technique, so then what normally the first thing that well do is we cover the canvas with something to make it wet and slick"
Bob Ross,"Today weve used liquid white, and all that does is allow us to actually blend color right on the canvas rather than working ourselves to death on the palette"
Bob Ross,"Today lets start off with the old two-inch brush, and lets go right up here and get this least little amount of phthalo blue, its a very strong color, you need very little, just pull it out, and"
Bob Ross,"then tap the bristles into the color. That assures that we get a nice, even distribution of color all the way through the bristles. And thats exactly what were looking for"
Bob Ross,"Okay, lets go right up here. Thought today wed do just a happy little scene. I wanna show you a very simple little scene that you can do even if youve never painted before"
Bob Ross,"This is a very easy, very nice little scene, and I think youll find it very enjoyable and rewarding. There we go, all were doing here is just using little crisscross strokes, little xs"
Bob Ross,"Thats really all it amounts to, little tiny xs. And the color, the blue color, is always blending with the liquid white thats on the canvas"
Bob Ross,"And automatically, automatically the sky gets lighter and lighter toward the horizon. And thats what were looking for in a landscape. We just blend it together here a little"
Bob Ross,"Okay, then very lightly we can just go across. All this does is just removes all the brush strokes and sorta pulls everything together just like so. There"
Bob Ross,"Maybe well have a little bit of water in this painting. If youve painted with me before, you know Im an absolute nut for water"
Bob Ross,"I think its so beautiful, and in this technique, its one of the nicest, easiest things to paint. So youll find water very enjoyable to do"
Bob Ross,"So well just take a small amount of that phthalo blue again back on the same old brush. Lets go right up here, and you have to make a decision here, where does your water live. Maybe"
Bob Ross,"maybe its right in here, just take and pull from the outside in. Thats all there is to it. Very lightly. Now then, well take it up to, oh, about there"
Bob Ross,"Doesnt matter, doesnt matter, wherever you want it. On this piece of canvas, you have absolute and total power. You can do anything that you wanna do here. You have unbelievable power"
Bob Ross,"You can move mighty rivers, push trees around, and mountains. Anything that you want to do on this piece of canvas. There, okay, and thatll end up being our water. Lets wash our old brush"
Bob Ross,"We wash our brush with odorless thinner. Let me say that again, odorless thinner"
Bob Ross,"If you dont use odorless thinner, youre gonna find yourself, banging chuckling youre gonna find yourself working alone very, very quickly. Really recommend you use odorless thinner"
Bob Ross,"Tell you what, lets take a fan brush today, and lets build us a happy little cloud. And for that, well go right into titanium white"
Bob Ross,"Be right back, gonna get the least little touch of the bright red, least, least little touch, though. It goes a long way. Load a lot of color into the bristles. See, both sides are full of color"
Bob Ross,"Very good, now then, we have to make some big decision"
Bob Ross,"Maybe theres some happy little clouds that live in our world, so take the corner of the brush and very gently begin making all these tiny little circles. Tiny little circles, add a little more paint"
Bob Ross,"There we go. And just begin forming your basic cloud shapes. Thats all were looking for at this point are very basic little shapes. Its all were looking for. Okay, just apply a little color"
Bob Ross,"Now then, Im gonna take a two-inch brush thats nice and clean and dry, and I have several of each brush going here. And very gently, very gently, just blend the base of this mountain, or cloud"
Bob Ross,"Son of a gun, I done called this a mountain. There we are, now, very lightly, lift upward. See, that just sort of fluffs it"
Bob Ross,"Then gently, gently, two hairs and some air, just blend it a little bit, and we have a cloud. Now when youre painting clouds, work in layers doing the cloud that you thinks the farthest away first"
Bob Ross,"And then well come back and reload the brush, and we can go back in here and make another one. Now sometimes we use a very firm paint. Sometimes youll find the paint maybe is a little too thick"
Bob Ross,"If that ever happens, add the least little touch of liquid white along with the titanium white. Least little amount because when you add liquid white here, your blending ability drops drastically"
Bob Ross,So dont add any more than you have to to get the paint to come off your brush onto the canvas. And we can put another happy little cloud that lives right here
Bob Ross,"And in your world, you have to make these decisions. You have to decide how many clouds live in your painting. There, see, I think theres one lives right there"
Bob Ross,"Right there, maybe up in here theres a little stringy one. It just sorta floats along, he just lays up here and has a good time, watches everything happen"
Bob Ross,"Now then, back to our clean, dry two-inch brush, and be sure its dry. It really needs to be dry. Blend the base of it, fluff it just like we did before"
Bob Ross,"And that easy, you have another happy little cloud. And you can put as many or as few as you want in your world. Maybe well do one more, its good practice"
Bob Ross,"Good practice, and the more you practice, the better you get, no matter what youre doing, whether its painting or anything else"
Bob Ross,"But if theres a secret to this or any other style of painting, its simply practice. There we go, now very gently, once again, we just wanna blend the base of this, just the base"
Bob Ross,"Lift it, fluff it, there. Very lightly, very lightly, just go across. And so now see, we have all these layers of clouds now"
Bob Ross,"And you can come along in here and, you know, maybe once again, maybe you wanna put some little stringy clouds in here, little floaters"
Bob Ross,"And those are very easy, all you have to do is just sorta lay em in. Blend em the least little amount. And then very lightly just go over em. Isnt that something"
Bob Ross,"Okay, maybe well have a little mountain that lives way, way back in the distance here. Very simple little mountain, one thats very quiet, very subdued"
Bob Ross,"Well take some black, a little van dyke brown, little touch of alizarin crimson in there. Like so. Maybe the least little touch of prussian blue, there"
Bob Ross,"Okay, now then pull the paint out as flat as you can get it. Really get tough with it"
Bob Ross,"Go down with the knife, touch, and just cut across, that way you get a small roll of paint, lives right on the edge of the knife. Okay, lets go up here. Now then, we have to make a big decision"
Bob Ross,"Where does our little mountain live. And we want this to be a far away, very distant little mountain. So we dont want it to get too big on us. These rascals will grow on you very quickly"
Bob Ross,"Theyll take over your whole world. And you have to make some decisions, where you want little bumps, little tops. All you have to do is just put em on just like so"
Bob Ross,Now the only thing that were worried about at this point is a nice top edge up here. We could care less whats happening in here. Doesnt make any difference to us at this point
Bob Ross,"Now then, once again, take a two-inch brush, grab this, and pull it. Because the liquid whites on the canvas, you can move this color. Its wet, and itll slip and slide"
Bob Ross,"Now then, just by using brush strokes, if you wanna make a little mountain thats far away, just by using the little brush strokes here, you can make the indication of highlights and shadows, all"
Bob Ross,"If you cant, when youre painting, I guarantee, youll understand what Im saying there because theyll show up, itll look like all kinds of beautiful little things that are just happening out there"
Bob Ross,"automatically, and you dont have to work at all. And this is a lazy mans way of painting"
Bob Ross,"Shoot, Ill tell you what, lets take some white, little bit of phthalo blue, a little of that mountain color just to gray it down some"
Bob Ross,"There, maybe in our world, way back in the distance there, there lives a little foothill. Now push, see, hit it and give it a little push"
Bob Ross,"Make it slide a little, that loads paint right out at the end of the bristles. Lets go ahead up here. Okay, now we have a little foothill, maybe it lives, yep, youre right, youre right, there it is"
Bob Ross,"Little foothill lives right out there, see. Well just let it disappear into nothing. Very soft, quiet, gentle little thing"
Bob Ross,"It lives down here at the base of this big mountain, and he just watches everything that goes on. There we are"
Bob Ross,"Okay, now then, while we have that color on the brush, maybe we wanna make the indication of a little reflection down here"
Bob Ross,"To do that, just pull straight down with a little bit of the color, but straight down, thats important. And gently across. Now thatll give us an indication of a little reflection"
Bob Ross,"Other thing we can do, lift upward, very short little strokes. Thatll make it look like little distant trees that live way back there, far, far away. Very subdued, though"
Bob Ross,"All right, now one thing that gives a painting a lot of depth and distance is different planes or layers in it. So lets make several different layers in here"
Bob Ross,Well just use that old mountain color here
Bob Ross,"I think that was just black, a little prussian blue, little van dyke brown, alizarin crimson, and to that, Im gonna add the least little touch of sap green. Not much, just a little"
Bob Ross,"Once again, tap the brush just to load it. Now then. Lets begin putting in all different layers or planes. Maybe theres one that lives right here, and it comes right down like that"
Bob Ross,Let your imagination go and decide where you want all these little things to live
Bob Ross,"There, okay, now then, each time you put one of these little peninsulas out here though, we need a reflection under it, its very important. Pull straight down, go gently across"
Bob Ross,And then you can make a decision where the next one lives. Maybe the next one is right here
Bob Ross,"Now see, you may, its almost a natural tendency to want to put all of these in and then put the reflections, but when you pull these down, it would destroy the top of that one"
Bob Ross,"Hope all that makes sense, so do em one at a time. Dont be in too big a hurry. Speed will come automatically with practice. There. Right now, were just trying to learn the basic technique"
Bob Ross,"Maybe, shoot, maybe theres another one right here. I dont know. Just let it go, thats the beauty of this, you really dont have to set and plan every little detail out"
Bob Ross,"Have a general idea in your mind of where you wanna go with this painting and what you want it to look like. So basically, all you have to do is figure out the time of year and the time of day"
