person,text
Bob Ross,"If this is your first time with us, allow me to extend a personal invitation for you to drag out your paints and some big, ol unorthodox brushes and Ill show you how to do some fantastic little"
Bob Ross,"So Ill tell you what, today lets start out and have em run all the colors across the screen that you need to paint this little painting with us, and while theyre doing that let me show you what"
Bob Ross,"Ive gotten done up here. Today, Ive taken an 18 by 24, double prime, pre-stretch canvas and Ive just covered the entire canvas with black gesso"
Bob Ross,And black gesso is just an acrylic paint that makes the canvas black. Ive allowed that to dry completely
Bob Ross,"On top of that, take a little piece of contact paper here, any sticky back paper cut an oval, stuck it on there"
Bob Ross,"Then on the inside here, after we have the contact paper on, Ive taken a little bit of liquid clear and covered the entire inside"
Bob Ross,"Then weve taken alizarin crimson, just plain ol alizerin crimson covered the entire canvas"
Bob Ross,"And on the corner over here Ive put a little bit of phthalo blue, just so its sort of a lavender color over here. I know it sounds complicated but believe it or not it is extremely simple"
Bob Ross,"Black gesso, liquid clear, alizarin crimson, a little phthalo blue in the corner and just blend it out. And with that let me show you how much fun we can have"
Bob Ross,Lets start today with a least little bit of indian yellow. I just want a very small amount. Just a small amount. And Ill go right up in here and get a little bit of white on there
Bob Ross,So we have a little indian yellow and a little bit of titanium white on a little two inch brush. Lets go right up in here
Bob Ross,"Now, lets decide where our light area will be, and right in here lets start making little Xs, little criss cross strokes, something like that"
Bob Ross,"And we just begin letting that blend outward and upward. I want this to be the lightest area in my sky. So with that, all we have to do is start making little Xs"
Bob Ross,"I love these black canvasses because you put the transparent color on there, they still look black, but when you start painting you add a little white, or yellow or something in there, and they come"
Bob Ross,"alive. Notice that Im always taking the pure color back to the lightest area and working outward. That way we assure that the lightest color is right in there, and thats where we want it. Alright"
Bob Ross,"Look at all those beautiful colors, they just. they happen automatically. This is a very, very easy style of painting. Anybody can do this. I get letters everyday from people all over the country"
Bob Ross,"They say, I never believed I could paint, but Ive tried what you showed me on television and it works for me. It works.  Alright. Now I want to make that a little brighter yet"
Bob Ross,"So Im going to take some more of the titanium white and a little bit of canyon yellow, its very bright yellow, very strong yellow. Just a little"
Bob Ross,"Once again, always start in the lightest area and work outward, because youre gonna pick up this transparent color this on the canvas and automatically it will get darker and darker as you work away"
Bob Ross,from that center area. Something about like so. There. Well take the little blender brush and come back and smooth all that out in a second. In the meantime Im going to grab another brush
Bob Ross,"I have several of them going so I dont have to spend all my time just washing brushes. Take a little white and lets get crazy, shoot, lets get a little bit of this bright red"
Bob Ross,"Thats a gorgeous color but its very strong. Be careful with it. Just a tap a little into the bristles, thats all were doing, just tapping. And maybe up here now well. maybe. yep"
Bob Ross,"Theres some, just some happy little things that happen up here in the sky. Just little things like this, and well dance a few little colors in here"
Bob Ross,In your world you put any color or any shape that you want. Painting is a very individual thing. Everybody will see nature through different eyes and thats the beauty of it
Bob Ross,"You can paint any world that you want here. Any world that you want. Maybe theres a little dooer comes out here, I dont know, doesnt really matter. You decide"
Bob Ross,"Take a little blue, a little crimson, just mix them on the brush here. Make sort of a little lavender color but to the reddish side"
