person,text
Bob Ross,there we go then with a clean dry 2in brush very lightly you can just blend this Music out see there lets go back over here just sort of blend that out a little bit and when we put some put some
holt,"Good idea. Everyone? Gather round, so I can call out Peralta in front of you."
Bob Ross,apart from everybody else because you you pay attention to little details that makes you special and if if youre selling your paintings thatll cause your paintings to sell while somebody else is are
holt,"Peralta, what are you doing here?"
holt,"Rub, rub, rub."
Bob Ross,"Now see, you may, its almost a natural tendency to want to put all of these in and then put the reflections, but when you pull these down, it would destroy the top of that one"
Donald Trump,You look fab! They were so lucky to have you in the kitchen Go Kate Go!
Bob Ross,"Im just making it on the brush, because Im about out. And lets just put some color down here. Right on top of the clear. This will just end up being, maybe well have snow and this will be shadows"
Bob Ross,gently just tap and lift upward always following the angles its most important that you follow those angles look at that and we have another layer of mountains and you can go on and on and on I show
Bob Ross,across now same old dirty brush back into my yellow Och and bright red mixture just a little same old dirty brush you you can get over here and a little bit of this CAD yellow too its all right now
holt,Peralta.
holt,I like to know what my detectives are up to. That okay by you?
Donald Trump,No deal is better than a bad deal. America out negotiated again. # Iran
Donald Trump,"Wow, Nellie Ohr, Bruce Ohr’s wife, is a Russia expert who is fluent in Russian. She worked for Fusion GPS where she was paid a lot. Collusion! Bruce was a boss at the Department of Justice and is, unbelievably, still there!"
Donald Trump,"....and Assad to protect the land of our enemy? Anyone who wants to assist Syria in protecting the Kurds is good with me, whether it is Russia, China, or Napoleon Bonaparte. I hope they all do great, we are 7,000 miles away!"
Donald Trump,"Joe Concha, The Hill: “In Emerson College Poll, Impeachment among independents, 49% Oppose, 34% Support. You see why Pelosi is reluctant to go in with this. Dems have to go home and explain why they haven’t done something on Opioid crisis, drug prices, USMCA, the Border, etc."
Donald Trump,We need less # isis and # ebola and # obama and more True!
holt,That's troubling.
holt,Does he always talk this much?
holt,Punk!
Donald Trump,Don't let the GLOBAL WARMING wiseguys get away with changing the name to CLIMATE CHANGE because the FACTS do not let GW tag to work anymore!
Donald Trump,We desperately need someone that looks out for our great country. Dropping supplies into enemy hands is inconceivable.
