person,text
Donald Trump,It’s time for to enter All time hits leader has paid the price.
Bob Ross,"Now I like taking the liner brush. Once again make that paint very thin and lets go back over and I wanna pull one of these trees through this line. It just, just sort of makes it interesting"
Donald Trump,Donald Trump on he'll be at tomorrow
Bob Ross,Were getting much darker in color now. There
Bob Ross,"Thin the paint, very, very thin, and then you can have this just churning and carrying on here any way that you want it. Then back to our little fan brush"
Donald Trump,"Mitch McConnell just told a group of people, and me, that he has been in the U.S. Senate for 32 years and the last two have been by far the best & most productive of his career. Tax & Regulation Cuts, VA Choice, Farm Bill, Criminal Justice Reform, Judgeships & much more. Great!"
Donald Trump,"So gives Crooked Hillary the Questions, and now she’s on"
Donald Trump,Go for it!
Donald Trump,"Rev. is a great man and so is his son, Franklin Graham."
Donald Trump,Why didn't correct Jeb when he said has run 4 president 2X B4~Jeb needs 2B corrected b/c he lied.
Bob Ross,"And the beauty of this, you could still turn this back into a happy little meadow, for example, if you wanted to. Its not too late. Its not too late"
Bob Ross,the Van Dyk Brown I want this paint to be thin like ink almost water consistency all right lets have I dont want to cover up this area thats thats the prettiest part of the painting or I hope it
Donald Trump,Getting ready to deliver a VERY IMPORTANT DECISION! 8:00 P.M.
Donald Trump,"SHOW, THE IS THE BEST REALITY SHOW ON TV. # Educative # Informative"
Bob Ross,just with a little bit of press and blue and were going to drag that out pound it into that brush real good get tough with it right from the beginning and well go up here and start in Im going to
Bob Ross,"People absolutely love em. Absolutely love em. I think this ones about ready for a signature. Well take a little bit of red, and lets sign this one. Lets sign him right here. Call him finished"
Donald Trump,"Like anything Mr. Trump puts his name on simply amazing!! The Bronx needed the Trump touch!"" Thanks."
Donald Trump,"With all of the recently reported electronic surveillance, intercepts, unmasking and illegal leaking of information, I have no idea..."
Donald Trump,"I had a great day in D.C. even though the subject was an unpleasant one, the horrible Iran Nuke deal. Amazing crowd and enthusiasm!"
Donald Trump,Make sure you get on the Trump line and are not mislead by the Cruz people. They are bad! BE CAREFUL.
Donald Trump,"I have nothing to do with Atlantic City-sold years ago (great timing). For losers and haters, I NEVER went bankrupt. Plus $10 billion, sorry"
Donald Trump,Ted Cruz went down big in just released Reuters poll - what's going on? Is it Goldman Sachs/Citi loans or Canada?
Bob Ross,red thats a very opaque color now when you put it there see what happens that color is not transparent it will not do for what were trying to do here thats a good test of course now we got a red
Donald Trump,"Congratulations to & on making list of ""10 Journos You Don't Want to Fight on Twitter."
Bob Ross,"You take Van Dyke Brown, a little Dark Sienna mixed together. Ill put some black in it too. I want a dark rock. In fact, Im gonna use a lot of black. I want it really dark"
Donald Trump,True and thanks John!
Bob Ross,"And now well take a little bit of white paint, just put some snow in here for all these things to sit on"
Bob Ross,Youll be painting all by yourself very soon
Bob Ross,"Way back on that hill. See there. I hope you can see those. Theyre quite small, but theyre there. Now then. Tell you what"
Donald Trump,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!
Bob Ross,"Give the indication of a little center button in daisies. Little bit of brown, here and there. We can put in some sticks, and twigs. Somethin about like that"
Donald Trump,"I'm not, because if he runs the White House will be his."
Bob Ross,"I know were not interested in goin out and makin a happy buck or two, but if youre out selling your paintings, and Ive said this so many times before, this is what separates your painting from"
Bob Ross,a little little Sheen of light coming across your water when the paintings done all right now then let me just grab a clean brush Ive got several of these old brushes going so it saves me some time
Bob Ross,"Just tap. Then well go up here and just like were putting grass in a summer scene, just tap in. Just tap it"
Donald Trump,Had a great time on inaugural 7PM show. Congrats to Greta on the new spot!
Donald Trump,Thanks
Donald Trump,"Will be in South Bend, Indiana in a short while -- big rally! See you soon!"
Bob Ross,"And look at there, in just a couple of minutes, you have a sky that has so much action happening in it"
Bob Ross,"There we go. And then, lets take, lets have a little sand dune today. What the heck"
Bob Ross,there lets go right into midnight black load a lot of paint on the brush a lot of paint a lot of paint both sides full see there okay lets go up here maybe there lives in our world right here a nice
Donald Trump,The tragedy in South Carolina is incomprehensible. My deepest condolences to all.
Bob Ross,Well just push this cabin right back into the bushes a little bit and well have some little bushes growing right down like that
Donald Trump,MAKE AMERICA GREAT AGAIN!
Bob Ross,"Be brave, go right across the waterfall here. And well just lay this in with a knife"
Bob Ross,"Lets just clean the brush. Once again, we clean the brush with odorless paint thinner"
Donald Trump,"Be tough, be smart, be personable, but don't take things personally. That's good business."
Donald Trump,Sometimes your best investments are the ones you don't make. ~ Donald Trump
Donald Trump,"The IG Report totally destroys James Comey and all of his minions including the great lovers, Peter Strzok and Lisa Page, who started the disgraceful Witch Hunt against so many innocent people. It will go down as a dark and dangerous period in American History!"
Bob Ross,Now were gonna use blue and white next to a darker value for the shadow and well start right here and let this just follow right along
Donald Trump,Such a fantastic win for Ron DeSantis and the people of the Great State of Florida. Ron will be a fantastic Governor. On to November!
Bob Ross,"Now then, maybe Ill take, Ill tell you what, lets use a little Prussian blue and Ill add a little midnight black to it. Well make a very dark blue. Black and blue"
Donald Trump,I'm With Trump All The Way!!!
Donald Trump,"Federal Judge in Maryland has just ruled that “President Trump has the right to end DACA.” President Obama had 8 years to fix this problem, and didn’t. I am waiting for the Dems, they are running for the hills!"
Donald Trump,“The best luck of all is the luck you make for yourself.” – General Douglas MacArthur
Donald Trump,"Wow, two candidates called last night and said they want to go to my event tonight at Drake University."
Bob Ross,"Just sort of see these things in your mind, drop them in. Drop them in wherever you think they should live. Maybe that goes all the way down there, I dont know. Little bit in there"
Donald Trump,Great point! Freedom is not free and the American people are tired of paying for it! It's time for other nations to pay up!
Bob Ross,"But right here we have a very limited amount of time. Shoot, Ive got a mean old director, if I dont finish in 30 minutes, she has no sense of humor. Absolutely none. There we go"
Bob Ross,The canvas boards have cardboard in the center and they have a tendency to absorb your magic white very rapidly and leave you with a dry canvas
Bob Ross,"With this thinner paint on the brush, in my mind, right about in here, theres gonna live shoo, a happy little water fall, see. Pull it straight, and then go down. Over and down, like that"
Donald Trump,Leaving now for New Hampshire. Big crowd- looking forward to it! # FITN
Bob Ross,"Theyre like people, some of em are big, some are small. Some are skinny, some are a little heavier. There. See. Maybe another one like this right here beside him. Something like that"
Bob Ross,him so lets lets build a big one big old cactus a lot of black I think this big Cactus is going to live he certainly is right now right there right there there this is just straight midnight black
Bob Ross,You need a thin paint to go over the top of this very thick paint that youve put on. So there we go
Donald Trump,"please buy Pinehurst next!"" And fix it - make it beautiful again!"
Bob Ross,"Now maybe back in here were beginning to see the first indication of a little bit of color but very small amount so Im going to do a little touch of the yellow ochre, maybe even pick up a little bit"
Donald Trump,"Here we go again with another Clinton scandal, and e-mails yet (can you believe). Crooked Hillary knew the fix was in, B never had a chance!"
Donald Trump,....and I did not increase their second traunch of Tariffs to 25% on March 1st. This is very important for our great farmers - and me!
Donald Trump,"Snowden is a spy who has caused great damage to the U.S. A spy in the old days, when our country was respected and strong, would be executed"
Donald Trump,"Happy Birthday Anthony,"
